code,text
Committee activity?,¿La actividad de los comités?
Committee agendas,Las agendas de los comités
Committee information,La información de los comités
Committee meetings are by default not public in Finland unfortunately...,Desafortunadamente, las sesiónes de los comités no eson públicas en Finlandia...
committee meetings are generally open to the public,las sesiónes de los comités están generalmente abiertas para el público
Committee meetings are not generally open to the public,las sesiónes de los comités no están generalmente abiertas para el público
"Committee meetings are open to the media and to the persons invited by the committee, as specified in the Rules of Procedure. ","Las sesiónes de los comités están abiertas para los medios de comunicación y para las personas invitadas por los comités, como está especificado en el Código de procedimiento. "
Committee membership,Afiliación a los comités
committee rules are described in internal rules of the parliament as a whole.,las reglas de los comités están descritas en las reglas internales de todo el parlamento.
Committee schedule is online  available just a few days before the meeting,El horario de los comités está disponible solamente unos pocos días antes de la reunión
committee schedule is available one week in advance on http://www.sobranie.mk/pocetna.nspx,el horario del comité está disponible una semana antes en la página http://www.sobranie.mk/pocetna.nspx
Committee transcripts ,Las transcripciónes de los comités
Committee voting records,Los historiales de las votaciónes en los comités
Committees,Comités
Committees do not have their own rules.,Los comités no tienen sus propias reglas.
Committees have annual plans of work that also include quarterly schedules.,Los comités tienen planes anuales de trabajo que incluyen también los horarios por cada cuarto del año.
"Committees, Citizen Participation","Comités, participación ciudadana"
Contextual information or reports,La información contextual de los informes
Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)
Croatia,Croacia
Current week Schedule http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp Order Papers http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/op/default.asp&CatID=4&m=d,Horario actual de semana http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp Order Papers http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/op/default.asp&CatID=4&m=d
Daily,Diariamente
data/law/2408/2408_1.pdf AND http://knesset.gov.il/laws/heb/template.asp?Type=1,data/law/2408/2408_1.pdf AND http://knesset.gov.il/laws/heb/template.asp?Type=1
"Deliberation generally in private, evidence hearings generally in public","Deliberación generalmente en privado, audiciónes para presentar la evidencia generalmente públicas"
Depends on the committee and the circumstances.  Often meetings are arranged at short notice in response to developments in the news,Depende del comité y de circunstancias. Las sesiónes suelen ser organizadas en poco tiempo como una respuesta al avance de la información.
"developing and publishing individual voting records is in progress. however, overall statistical data on MPs activity is available; ex: https://infodok.sabor.hr/report.aspx?Format=HTML&VrstaReporta=ZastAkt&saz_id=19&sje_min_id=2163&sje_max_id=2164&sub_id=826","desarollo y la publicación de las votaciónes de cada individuo se está preparando. No obstante, los datos estadísticos sobre la actividad de los miembros del parlamento están disponibles en la página: https://infodok.sabor.hr/report.aspx?Format=HTML&VrstaReporta=ZastAkt&saz_id=19&sje_min_id=2163&sje_max_id=2164&sub_id=826"
differently for each committee. some of them don't even have a website,es diferente para cada comité, algúnos de ellos ni siquiera tienen una página  web
Directorio Telefónico del personal adminstrativo http://www.congreso.gob.gt/administracion.php,Directorio Telefónico del personal adminstrativo http://www.congreso.gob.gt/administracion.php
Does parliament have offices outside the capital where citizens can access parliamentary information?,¿Dispone el parlamento con las oficinas afuera de la ciudad capital donde los ciudadanos pueden acceder a la información sobre sus actividades?
"Does the parliament have a public website? If yes, please provide a link.","¿Tiene el parlamento páginas web públicas? Si la respuesta es sí, por favor provee el enlance"
Does the parliament have a website?,¿Tiene el parlamento páginas web?
Does the parliament have an open data policy?,¿Tiene el parlamento una política de los datos abiertos?
Does the parliament have transparency policies or guidelines?,¿Tiene el parlamento políticas y directrices de transparencia?
"Does the parliament maintain a web-based, searchable database of all enacted legislation?","¿Tiene el parlamento una base de datos que se encuentra en el internet, donde se puede encontrar todo la legislación aprobada?"
"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?","¿Tiene el parlamento oficinas afuera de la ciudad capital donde los ciuadadnos pueden acceder a la información actual y precisa?"
Does the parliament officially require payment in exchange for access to certain parliamentary information?,¿Se necesita un pago oficial para poder acceder a la información del parlamento?
Does the parliament provide plain language summaries of legislative information?,¿Tiene el parlamento información en el lenguaje simple sobre la información de la legislatura?
Does the parliament provide publicly available alert services?,¿Tiene el parlamento servicios de vigilancia disponibles al público?
Does the parliament require payment for access to certain information?,¿Se necesita un pago para poder acceder a la información del parlamento?
Does the parliament's website have a publicly posted privacy policy?,¿Tienen las páginas del parlamento información pública sobre la política de privacidad?
"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link.","¿Tienen las páginas del parlamento información publica sobre la política de privacidad que permite a los usuarios de web saber si se está colectando su información personal y cómo se utiliza esta información? Si la respuesta es sí, provee el enlance."
Draft bills,Proyectos de ley
Draft Code of Ethics envisages that the results of internal parliamentary investigations are public.,Proyecto de la Ley de Ética propone que los resultados de las investigaciónes internas del parlamento se hagan públicos.
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf
e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf
e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf
e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice,e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice
e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine,e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine
"e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf","e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf"
e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi,e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi
e.g. http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su,e.g. http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su
E.g. http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2,E.g. http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2
e.g. https://www.bundestag.de/bundestag/ausschuesse18/a11/beschlussempfehlung_und_bericht/beschlussempfehlung_und_bericht/214622,e.g. https://www.bundestag.de/bundestag/ausschuesse18/a11/beschlussempfehlung_und_bericht/beschlussempfehlung_und_bericht/214622
El Salvador,El Salvador
Election results,Resultados de las elecciones
Email,Correo electrónico
END,FIN
erratic,errático
Estonia,Estonia
ethic committees resolutions are availabe on the knesset website,las resoluciónes de los comités están disponibles en las páginas de Knesset
Ethics,Ética
Eurointegration council rules on proceeding are available. Working bodies are not (for those that have ones).,Las reglas del Consejo de Eurointegración sobre el procedimiento están disponibles. Los órganos de trabajo no (para los que tienen). 
Example of how votes are shown: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm,Un ejemplo como se demuestran los votos: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm
Excel or CSV,Excel o CSV
Financial Reports - presented each four months http://www.congreso.gob.gt/informacion-presupuestaria.php,Informes fiscales - presentados cada cuatro meses http://www.congreso.gob.gt/informacion-presupuestaria.php
"First or second reading phase can be easy identified, or at plenary session agenda.","Primera o segunda fase de lectura se puede identificar facilmente, o la agenda de la sesión del plenario."
for example http://www.knesset.gov.il/mk/heb/mk.asp?ID=1,por ejemplo http://www.knesset.gov.il/mk/heb/mk.asp?ID=1
General Secretary Office,Oficina del secretario general
Germany,Alemania
Ghana,Ghana
Greece,Grecia
Guatemala,Guatemala
How can sessions be observed?,¿Cómo se pueden observar las sesiónes?
How can the information be accessed?,Cómo se puede acceder a la información?
How can the public observe committee meetings?,¿Cómo el público puede observar las sesiones de los comités?
How far in advance is the committee schedule available?,¿Con cuánta anticipación está disponible el horario de los comités?
How frequently does the parliament update its website?,¿Con que frequencia el parlamento actualiza sus páginas web?
How in advance is the committee meeting agenda available?,¿Con cuánta anticipación está disponible la agenda de los comités?
How much historical information is available?,¿Cuanta cantidad de información histórica está disponible?
How soon after a meeting are transcripts available?,¿Qué tan pronto después de la reunión del comité están disponibles las transcripciones?
How soon after a resolution has passed is its text available?,¿Qué tan pronto después de que la resolución es aprobada se publica su contenido?
How soon after a session are transcripts published?,¿Qué tan pronto después de la sesión se publican las transcripciones?
How soon after a session are voting records published?,¿Qué tan pronto después de la sesión se publican las votaciones?
How soon after a vote are records available?,¿Qué tan pronto después de un voto está disponible su historial?
How soon after an action is bill status information published?,¿Qué tan pronto después de una acción se puede encontrar la información publicada?
How soon after being presented are parliamentary reports published?,¿Qué tan pronto después de la presentación se publican los informes del parlamento?
How soon after being submitted or presented is evidence available?,¿Qué tan pronto después de ser aprobada o presentada está disponible la evidencia?
How soon after being tabled is draft legislation published?,¿Qué tan pronto después de ser presentado se publica un proyecto de ley?
HTML,HTML
http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf,http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf
http://congreso.gob.gt/ley-de-acceso-a-la-informacion-publica.php,http://congreso.gob.gt/ley-de-acceso-a-la-informacion-publica.php
http://data.camera.it/data/en/,http://data.camera.it/data/en/
http://diafaneia.hellenicparliament.gr/,http://diafaneia.hellenicparliament.gr/
http://dipbt.bundestag.de/dip21.web/bt,http://dipbt.bundestag.de/dip21.web/bt
http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII,http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII
http://eduskunta.fi,http://eduskunta.fi
http://gapp.rada.gov.ua/declview/Home/Main/15669/2013,http://gapp.rada.gov.ua/declview/Home/Main/15669/2013
http://gapp.rada.gov.ua/mps/info/page/15669,http://gapp.rada.gov.ua/mps/info/page/15669
http://iportal.rada.gov.ua/meeting/awt,http://iportal.rada.gov.ua/meeting/awt
http://iportal.rada.gov.ua/meeting/stenogr,http://iportal.rada.gov.ua/meeting/stenogr
http://iportal.rada.gov.ua/video/rada-tv/64430.html,http://iportal.rada.gov.ua/video/rada-tv/64430.html
http://itv.sabor.hr/video/,http://itv.sabor.hr/video/
http://knesset.gov.il/description/eng/eng_work_mel2.htm,http://knesset.gov.il/description/eng/eng_work_mel2.htm
http://knesset.gov.il/description/eng/eng_work_org.htm,http://knesset.gov.il/description/eng/eng_work_org.htm
http://knesset.gov.il/main/eng/home.asp,http://knesset.gov.il/main/eng/home.asp
http://knesset.gov.il/rules/eng/contents.htm,http://knesset.gov.il/rules/eng/contents.htm
http://knesset.gov.il/rules/eng/contents.htm http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf,http://knesset.gov.il/rules/eng/contents.htm http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf
http://knesset.gov.il/rules/eng/contents.htm the rules of the committees are part of the rules and procedures of the parliament.,http://knesset.gov.il/rules/eng/contents.htm the rules of the committees are part of the rules and procedures of the parliament.
http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=45059&cat_id=44826,http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=45059&cat_id=44826
http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=62906&cat_id=62702,http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=62906&cat_id=62702
http://korea.assembly.go.kr,http://korea.assembly.go.kr
http://korea.assembly.go.kr/,http://korea.assembly.go.kr/
http://korea.assembly.go.kr/privacy/privacyPolicy.jsp,http://korea.assembly.go.kr/privacy/privacyPolicy.jsp
http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2,http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2
http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp,http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp
http://main.knesset.gov.il/About/Departments/Pages/default.aspx,http://main.knesset.gov.il/About/Departments/Pages/default.aspx
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx for example. the reports are on each committee website.,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx por ejemplo. Los informes están en las páginas de web de cada comité.
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx
http://main.knesset.gov.il/Activity/committees/Pages/default.aspx,http://main.knesset.gov.il/Activity/committees/Pages/default.aspx
http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx,http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx
http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html,http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html
http://oireachtasdebates.oireachtas.ie,http://oireachtasdebates.oireachtas.ie
http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees,http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees
http://old.congreso.gob.gt/Legislacion/decretos.asp,http://old.congreso.gob.gt/Legislacion/decretos.asp
http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx,http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx
http://parlament.hu/kozvetites,http://parlament.hu/kozvetites
http://parlament.hu/videoarchivum,http://parlament.hu/videoarchivum
http://parliamentarystandards.org.uk/Pages/default.aspx,http://parliamentarystandards.org.uk/Pages/default.aspx
http://parltv.live.grnet.gr/webtv/,http://parltv.live.grnet.gr/webtv/
http://ppid.dpr.go.id/index/statik/id/5,http://ppid.dpr.go.id/index/statik/id/5
http://rada.gov.ua/,http://rada.gov.ua/
http://rtmparlimen.rtm.gov.my,http://rtmparlimen.rtm.gov.my
http://rtmparlimen.rtm.gov.my/,http://rtmparlimen.rtm.gov.my/
http://services.parliament.uk/calendar/,http://services.parliament.uk/calendar/
http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html; see also http://www.parliament.uk/business/publications/business-papers/commons/future-business/#session=26&year=2014&month=8&day=26,http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html; see also http://www.parliament.uk/business/publications/business-papers/commons/future-business/#session=26&year=2014&month=8&day=26
http://skupstina.me,http://skupstina.me
http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF,http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF
http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf,http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf
